record_id,atm_id,date,city,location_type,day_of_week,month,is_weekend,is_holiday,festival,temperature,transaction_count,average_withdrawal,withdrawal_amount,deposit_amount,opening_cash,cash_remaining,cash_out,replenishment_required,next_day_cash_requirement
19,ATM037,2025-08-13,Jaipur,Railway Station,Wednesday,8,0,0,None,36.18,258,2272.0,586176.0,26108.06,2500000,1939932.06,0,0,570937.86
20,ATM027,2025-04-23,Delhi,Mall,Wednesday,4,0,0,None,16.64,318,2395.0,761610.0,51255.17,1500000,789645.17,0,0,790322.71
21,ATM009,2025-03-08,Bengaluru,Bus Stand,Saturday,3,1,0,None,27.49,147,6008.0,883176.0,39465.88,3000000,2156289.88,0,0,1089855.46
22,ATM006,2024-08-30,Bengaluru,Residential,Friday,8,0,0,Holi,28.11,314,4785.0,1502490.0,248461.41,1500000,245971.41,0,1,1742161.04
23,ATM025,2024-09-28,Jaipur,Bus Stand,Saturday,9,1,0,None,26.42,284,5486.0,1558024.0,82917.3,2000000,524893.3,0,0,1558477.29
24,ATM004,2025-08-16,Delhi,College,Saturday,8,1,0,None,16.54,279,5619.0,1567701.0,263229.65,3000000,1695528.65,0,0,1532442.73
25,ATM033,2024-03-23,Bengaluru,Mall,Saturday,3,1,0,None,31.07,268,6166.0,1652488.0,110604.83,3000000,1458116.83,0,0,1541808.23
26,ATM006,2025-03-05,Kolkata,Bus Stand,Wednesday,3,0,1,None,20.51,220,3675.0,808500.0,72253.93,2000000,1263753.93,0,0,914601.1
27,ATM005,2024-01-10,Jaipur,Mall,Wednesday,1,0,1,Holi,16.98,397,4359.0,1730523.0,280569.05,1500000,50046.05,0,1,2239795.93
28,ATM011,2025-03-24,Hyderabad,Market,Monday,3,0,0,Eid,33.03,463,2348.0,1087124.0,185723.72,1500000,598599.72,0,0,1209125.87
29,ATM007,2025-07-20,Bengaluru,Bus Stand,Sunday,7,1,0,None,22.61,198,4308.0,852984.0,51639.31,2000000,1198655.31,0,0,945997.32
30,ATM017,2024-02-22,Mumbai,Residential,Thursday,2,0,0,None,37.39,91,1529.0,139139.0,11135.78,1500000,1371996.78,0,0,149294.71
31,ATM017,2024-06-14,Jaipur,Residential,Friday,6,0,0,None,30.14,108,2116.0,228528.0,39251.43,1500000,1310723.43,0,0,237887.73
32,ATM024,2025-08-19,Bengaluru,Residential,Tuesday,8,0,0,None,18.44,158,4487.0,708946.0,116867.78,1000000,407921.78,0,1,825655.26
33,ATM014,2025-11-29,Chennai,Mall,Saturday,11,1,0,None,24.55,384,2766.0,1414182.02,92643.91,1500000,178461.89,0,1,1820060.58
34,ATM012,2025-02-26,Delhi,Hospital,Wednesday,2,0,0,None,34.89,165,4872.0,803880.0,120851.52,1500000,816971.52,0,0,758365.92
35,ATM007,2025-01-26,Delhi,Business Area,Sunday,1,1,0,Dussehra,21.01,505,3364.0,1698820.0,107770.65,1500000,0.0,1,1,2142164.05
36,ATM018,2024-03-12,Hyderabad,College,Tuesday,3,0,0,None,32.32,182,5892.0,1072344.0,85436.31,1000000,13092.31,1,1,954782.51
37,ATM017,2024-07-01,Hyderabad,Market,Monday,7,0,0,None,17.93,285,4069.0,1159665.0,110700.56,3000000,1951035.56,0,0,1032653.88
38,ATM037,2024-07-13,Hyderabad,Market,Saturday,7,1,0,None,34.14,275,5910.0,1625250.0,216204.69,1500000,90954.69,0,1,1715736.96
39,ATM005,2025-11-11,Kolkata,College,Tuesday,11,0,0,None,32.91,111,3960.0,539243.69,70119.98,2000000,1530876.29,0,0,534304.29
40,ATM019,2025-07-21,Bengaluru,Railway Station,Monday,7,0,0,None,26.35,313,2925.0,915525.0,111993.64,2000000,1196468.64,0,0,908316.44
41,ATM001,2024-11-07,Hyderabad,Railway Station,Thursday,11,0,0,None,26.61,355,4139.0,1787086.52,172139.27,1500000,0.0,1,1,1838752.8
42,ATM011,2025-11-05,Mumbai,Bus Stand,Wednesday,11,0,0,None,28.92,242,4245.0,1154002.93,199411.65,1500000,545408.72,0,0,1252645.35
43,ATM015,2024-07-22,Bengaluru,Market,Monday,7,0,0,None,16.25,329,2096.0,689584.0,67794.68,3000000,2378210.68,0,0,633074.2
44,ATM025,2025-05-21,Pune,Railway Station,Wednesday,5,0,0,None,18.98,227,2373.0,538671.0,79057.0,1500000,1040386.0,0,0,491031.12
45,ATM034,2025-04-20,Delhi,Railway Station,Sunday,4,1,0,None,39.77,247,5306.0,1310582.0,170554.76,3000000,1859972.76,0,0,1498101.35
46,ATM029,2025-09-19,Pune,Business Area,Friday,9,0,0,None,39.22,308,3623.0,1115884.0,159310.87,2000000,1043426.87,0,0,1247597.13
47,ATM034,2025-05-11,Chennai,Bus Stand,Sunday,5,1,0,None,26.88,188,3725.0,700300.0,56288.1,3000000,2355988.1,0,0,664205.39
48,ATM010,2024-08-24,Pune,Hospital,Saturday,8,1,0,None,34.07,142,4839.0,687138.0,54718.32,2500000,1867580.32,0,0,738785.12
49,ATM014,2025-03-06,Pune,Market,Thursday,3,0,0,None,38.13,325,5407.0,1757275.0,54272.41,2000000,296997.41,0,1,1677344.34
50,ATM025,2025-03-05,Chennai,Business Area,Wednesday,3,0,0,None,20.92,303,1737.0,526311.0,46488.3,2500000,2020177.3,0,0,580764.97
51,ATM030,2024-05-10,Delhi,Residential,Friday,5,0,0,None,30.98,249,1722.0,428778.0,18262.56,2500000,2089484.56,0,0,384826.03
52,ATM030,2024-07-05,Delhi,Bus Stand,Friday,7,0,0,None,25.24,134,5224.0,700016.0,55320.07,2500000,1855304.07,0,0,663188.03
53,ATM027,2024-09-15,Mumbai,Business Area,Sunday,9,1,0,None,15.52,354,4366.0,1545564.0,98349.38,1000000,0.0,1,1,1875242.22
54,ATM003,2024-02-01,Chennai,Railway Station,Thursday,2,0,0,None,37.66,308,3454.0,1063832.0,52056.65,1000000,0.0,1,1,1114246.31
55,ATM014,2025-04-21,Hyderabad,College,Monday,4,0,0,None,19.53,235,2438.0,572930.0,84030.95,1500000,1011100.95,0,0,680441.62
56,ATM007,2025-08-15,Delhi,Bus Stand,Friday,8,0,0,None,30.55,176,4749.0,835824.0,143110.28,1500000,807286.28,0,0,732682.29
57,ATM016,2024-04-14,Hyderabad,Mall,Sunday,4,1,1,None,36.5,470,5864.0,2756080.0,259779.01,2000000,0.0,1,1,2914150.9
58,ATM022,2024-01-13,Pune,Business Area,Saturday,1,1,0,Diwali,17.85,556,5266.0,2927896.0,398475.8,2500000,0.0,1,1,3401641.67
59,ATM034,2025-10-28,Hyderabad,Business Area,Tuesday,10,0,0,None,27.55,315,4140.0,1712189.78,264721.07,1000000,0.0,1,1,1622513.65
60,ATM029,2024-09-06,Jaipur,Residential,Friday,9,0,0,None,24.08,206,4162.0,857372.0,49106.82,1500000,691734.82,0,0,835242.15
61,ATM017,2024-12-14,Hyderabad,Bus Stand,Saturday,12,1,0,Holi,30.01,386,2201.0,985807.78,89673.23,3000000,2103865.45,0,0,1401238.77
62,ATM031,2025-10-23,Jaipur,Business Area,Thursday,10,0,0,None,36.41,190,3315.0,756513.01,50304.92,3000000,2293791.91,0,0,740745.13
63,ATM036,2025-06-27,Kolkata,Residential,Friday,6,0,0,None,41.91,220,4209.0,925980.0,76644.83,2500000,1650664.83,0,0,874885.12
64,ATM017,2024-08-24,Mumbai,Railway Station,Saturday,8,1,0,Diwali,23.52,521,3069.0,1598949.0,99866.67,2500000,1000917.67,0,0,1929243.72
65,ATM038,2025-06-21,Hyderabad,Mall,Saturday,6,1,0,None,37.48,277,2969.0,822413.0,61960.71,3000000,2239547.71,0,0,794326.25
66,ATM003,2024-02-25,Hyderabad,Hospital,Sunday,2,1,0,None,32.22,231,1600.0,369600.0,42914.12,2500000,2173314.12,0,0,406173.39
67,ATM022,2024-07-07,Delhi,Bus Stand,Sunday,7,1,0,None,40.41,229,2035.0,466015.0,41990.8,1000000,575975.8,0,0,529446.16
68,ATM004,2024-06-04,Bengaluru,Bus Stand,Tuesday,6,0,1,None,17.3,188,6071.0,1141348.0,165114.84,3000000,2023766.84,0,0,1353275.46
69,ATM040,2024-08-19,Pune,Business Area,Monday,8,0,0,None,39.53,316,6321.0,1997436.0,356551.69,2000000,359115.69,0,1,2095350.94
70,ATM004,2025-09-16,Mumbai,Railway Station,Tuesday,9,0,0,Christmas,31.89,361,2786.0,1005746.0,66358.9,3000000,2060612.9,0,0,1039943.17
71,ATM001,2025-02-22,Jaipur,Business Area,Saturday,2,1,1,None,22.86,356,5219.0,1857964.0,75576.33,1500000,0.0,1,1,2637021.27
72,ATM038,2025-11-08,Chennai,Residential,Saturday,11,1,0,None,18.1,198,2720.0,714724.52,110063.77,1000000,395339.25,0,1,672229.27
73,ATM020,2025-09-01,Hyderabad,Business Area,Monday,9,0,0,None,18.36,296,4797.0,1419912.0,243374.96,3000000,1823462.96,0,0,1475279.41
74,ATM029,2024-03-23,Delhi,Residential,Saturday,3,1,0,None,34.83,270,1711.0,461970.0,20187.64,3000000,2558217.64,0,0,526614.6
75,ATM002,2025-11-19,Hyderabad,Market,Wednesday,11,0,0,None,35.6,234,5751.0,1699497.02,284514.36,1500000,85017.34,0,1,2037579.52
76,ATM028,2025-10-12,Jaipur,Mall,Sunday,10,1,0,None,27.69,316,2356.0,978590.31,77769.11,2500000,1599178.8,0,0,1004959.72
77,ATM026,2025-07-17,Delhi,Business Area,Thursday,7,0,0,None,17.38,235,2449.0,575515.0,101018.83,2500000,2025503.83,0,0,663406.91
78,ATM001,2025-11-04,Jaipur,Residential,Tuesday,11,0,1,None,16.46,288,5583.0,2020093.7,290890.63,1500000,0.0,1,1,2134604.82
79,ATM009,2024-10-21,Jaipur,Business Area,Monday,10,0,0,None,18.28,368,3460.0,1626546.07,124613.79,1000000,0.0,1,1,1696955.99
80,ATM006,2024-08-18,Mumbai,Business Area,Sunday,8,1,0,None,40.57,430,5582.0,2400260.0,407799.28,2000000,7539.28,1,1,2665137.38
81,ATM018,2025-03-01,Jaipur,Business Area,Saturday,3,1,0,None,21.58,333,3061.0,1019313.0,171530.22,3000000,2152217.22,0,0,1223276.09
82,ATM009,2024-03-12,Hyderabad,Residential,Tuesday,3,0,0,None,24.18,209,3688.0,770792.0,117994.71,2000000,1347202.71,0,0,851045.2
83,ATM038,2025-08-16,Jaipur,Hospital,Saturday,8,1,0,None,27.06,245,4223.0,1034635.0,116694.01,3000000,2082059.01,0,0,1097318.78
84,ATM021,2024-07-12,Chennai,Residential,Friday,7,0,0,None,21.31,185,1857.0,343545.0,26702.53,2500000,2183157.53,0,0,376810.38
85,ATM025,2025-01-30,Bengaluru,Business Area,Thursday,1,0,0,None,41.05,226,6334.0,1431484.0,114231.29,1000000,0.0,1,1,1654747.74
86,ATM029,2024-04-12,Jaipur,Market,Friday,4,0,0,None,34.51,317,2764.0,876188.0,36120.18,2000000,1159932.18,0,0,848584.95
87,ATM026,2025-10-27,Mumbai,College,Monday,10,0,0,None,38.01,216,4613.0,1333726.88,165408.64,2500000,1331681.76,0,0,1540900.09
88,ATM003,2025-09-24,Mumbai,Railway Station,Wednesday,9,0,0,None,32.04,232,2240.0,519680.0,49419.34,1000000,529739.34,0,0,580030.12
89,ATM007,2025-03-30,Bengaluru,Bus Stand,Sunday,3,1,0,None,39.39,131,1959.0,256629.0,18991.87,2000000,1762362.87,0,0,277364.52
90,ATM016,2025-06-27,Pune,Hospital,Friday,6,0,1,None,19.59,178,3472.0,618016.0,64675.43,3000000,2446659.43,0,0,623023.26
91,ATM030,2025-10-15,Hyderabad,Business Area,Wednesday,10,0,0,None,21.89,234,5311.0,1647051.31,216820.52,1500000,69769.21,0,1,1442572.63
92,ATM023,2025-08-24,Hyderabad,Residential,Sunday,8,1,1,Diwali,33.64,433,4651.0,2013883.0,318194.16,1000000,0.0,1,1,2681945.22
93,ATM037,2025-01-02,Hyderabad,Bus Stand,Thursday,1,0,0,None,15.59,248,4742.0,1176016.0,83699.48,3000000,1907683.48,0,0,1355680.19
94,ATM004,2025-09-12,Jaipur,Bus Stand,Friday,9,0,0,None,35.95,138,6473.0,893274.0,134249.97,1500000,740975.97,0,0,958318.87
95,ATM040,2024-09-13,Bengaluru,Mall,Friday,9,0,0,None,39.39,300,4030.0,1209000.0,179284.51,1000000,0.0,1,1,1272896.66
96,ATM009,2024-04-02,Hyderabad,College,Tuesday,4,0,0,Holi,35.18,219,2582.0,565458.0,83674.73,2000000,1518216.73,0,0,691126.53
97,ATM018,2024-06-17,Hyderabad,Business Area,Monday,6,0,0,None,41.12,300,4274.0,1282200.0,193144.04,2500000,1410944.04,0,0,1521987.62
98,ATM010,2024-08-19,Pune,College,Monday,8,0,0,None,17.44,181,1614.0,292134.0,20352.62,1000000,728218.62,0,0,294814.36
99,ATM017,2025-08-21,Pune,College,Thursday,8,0,0,Holi,17.93,269,1705.0,458645.0,56382.16,3000000,2597737.16,0,0,522152.01
100,ATM040,2024-08-14,Mumbai,Business Area,Wednesday,8,0,0,None,39.55,290,4844.0,1404760.0,66728.05,1000000,0.0,1,1,1659290.62
101,ATM020,2025-05-19,Mumbai,Mall,Monday,5,0,0,None,21.34,284,4683.0,1329972.0,130399.18,3000000,1800427.18,0,0,1325575.6
102,ATM010,2025-02-28,Mumbai,Business Area,Friday,2,0,0,Holi,31.62,363,4535.0,1646205.0,103036.72,2500000,956831.72,0,0,2297409.6
103,ATM024,2024-04-11,Kolkata,College,Thursday,4,0,0,None,16.63,150,3054.0,458100.0,80273.34,2500000,2122173.34,0,0,404083.46
104,ATM014,2025-10-19,Delhi,Market,Sunday,10,1,0,None,36.24,278,6125.0,1960378.45,302824.9,3000000,1342446.45,0,0,1953135.8
105,ATM014,2024-08-26,Kolkata,Hospital,Monday,8,0,0,None,36.29,232,1523.0,353336.0,25295.76,1500000,1171959.76,0,0,422460.73
106,ATM035,2024-09-13,Bengaluru,Mall,Friday,9,0,0,None,32.85,152,1621.0,246392.0,20631.96,1500000,1274239.96,0,0,260214.23
107,ATM002,2024-06-27,Hyderabad,Market,Thursday,6,0,0,None,18.42,304,2431.0,739024.0,104830.4,2500000,1865806.4,0,0,744120.55
108,ATM024,2025-06-09,Mumbai,Business Area,Monday,6,0,0,None,28.6,292,5771.0,1685132.0,126797.0,1000000,0.0,1,1,1468236.79
109,ATM031,2025-02-15,Pune,Mall,Saturday,2,1,0,None,28.24,329,2161.0,710969.0,55680.8,1500000,844711.8,0,0,670321.4
110,ATM018,2025-10-01,Kolkata,Residential,Wednesday,10,0,0,None,41.85,215,3915.0,1021373.4,123396.23,1000000,102022.83,0,1,1151683.93
111,ATM008,2025-11-01,Chennai,Residential,Saturday,11,1,0,None,27.19,184,4276.0,1028212.45,92343.27,1000000,64130.82,0,1,1065375.42
112,ATM021,2025-11-12,Hyderabad,College,Wednesday,11,0,0,None,40.75,201,2049.0,462426.61,19794.01,2500000,2057367.4,0,0,408691.51
113,ATM024,2024-05-13,Delhi,College,Monday,5,0,0,None,33.09,185,4396.0,813260.0,130968.29,2500000,1817708.29,0,0,938365.62
114,ATM004,2024-10-21,Hyderabad,College,Monday,10,0,1,None,17.8,266,2767.0,930467.29,59211.9,1000000,128744.61,0,1,1013506.55
115,ATM036,2025-01-11,Mumbai,Bus Stand,Saturday,1,1,0,None,30.5,263,6095.0,1602985.0,282417.09,3000000,1679432.09,0,0,1843321.66
116,ATM036,2024-01-27,Hyderabad,Market,Saturday,1,1,0,None,19.87,294,1550.0,455700.0,26070.98,1500000,1070370.98,0,0,515884.01
117,ATM026,2024-03-12,Bengaluru,Market,Tuesday,3,0,0,None,17.48,292,4581.0,1337652.0,124368.03,2000000,786716.03,0,0,1210699.79
118,ATM020,2024-11-28,Mumbai,Market,Thursday,11,0,0,None,19.2,294,2168.0,744490.24,96255.74,2500000,1851765.5,0,0,791003.46
119,ATM027,2024-10-06,Chennai,Mall,Sunday,10,1,0,None,24.32,257,6358.0,1996196.81,259645.09,1000000,0.0,1,1,1998903.59
120,ATM039,2024-02-26,Delhi,Railway Station,Monday,2,0,0,None,23.14,282,2624.0,739968.0,107017.23,2000000,1367049.23,0,0,713952.82
121,ATM001,2025-05-24,Pune,Hospital,Saturday,5,1,1,Christmas,18.49,474,6077.0,2880498.0,446486.21,2000000,0.0,1,1,3598419.44
122,ATM003,2025-03-22,Delhi,Business Area,Saturday,3,1,0,None,39.87,330,6197.0,2045010.0,185407.63,2500000,640397.63,0,0,2101118.42
123,ATM026,2024-01-22,Kolkata,Hospital,Monday,1,0,0,Eid,36.64,366,4464.0,1633824.0,70613.03,1000000,0.0,1,1,1802907.96
124,ATM038,2025-02-14,Mumbai,Residential,Friday,2,0,0,Christmas,38.5,264,4228.0,1116192.0,163932.53,1000000,47740.53,1,1,1354866.88
125,ATM008,2025-06-27,Chennai,College,Friday,6,0,1,Diwali,24.48,393,2342.0,920406.0,47830.4,1500000,627424.4,0,0,1107813.28
126,ATM010,2025-11-02,Mumbai,Hospital,Sunday,11,1,0,None,40.68,291,5300.0,1987425.45,286152.64,2500000,798727.19,0,0,2336155.92
127,ATM037,2025-10-20,Kolkata,College,Monday,10,0,0,None,19.08,97,5341.0,627159.16,47302.27,2000000,1420143.11,0,0,662905.3
128,ATM023,2025-06-03,Mumbai,Bus Stand,Tuesday,6,0,0,None,27.47,89,1966.0,174974.0,14927.14,2000000,1839953.14,0,0,153426.98
129,ATM006,2025-09-21,Pune,Business Area,Sunday,9,1,1,None,30.67,329,4133.0,1359757.0,164191.85,3000000,1804434.85,0,0,1484893.46
130,ATM004,2025-04-06,Mumbai,College,Sunday,4,1,0,None,41.52,153,2913.0,445689.0,15987.45,2500000,2070298.45,0,0,576094.36
131,ATM034,2025-06-19,Bengaluru,College,Thursday,6,0,0,Dussehra,25.07,271,4848.0,1313808.0,192038.95,3000000,1878230.95,0,0,1346163.1
132,ATM022,2024-03-08,Kolkata,Mall,Friday,3,0,0,None,30.07,264,3564.0,940896.0,130370.6,3000000,2189474.6,0,0,1087344.47
133,ATM022,2024-03-24,Bengaluru,College,Sunday,3,1,0,None,23.38,311,4710.0,1464810.0,72277.75,1000000,0.0,1,1,1516110.51
134,ATM025,2025-10-20,Kolkata,Hospital,Monday,10,0,0,None,33.09,214,2265.0,611464.67,57178.65,2000000,1445713.98,0,0,523646.53
135,ATM020,2024-07-03,Chennai,College,Wednesday,7,0,0,None,40.59,204,3072.0,626688.0,40096.41,1500000,913408.41,0,0,566670.6
136,ATM019,2024-04-13,Delhi,College,Saturday,4,1,0,None,38.66,266,6392.0,1700272.0,147087.1,1500000,0.0,1,1,1677079.91
137,ATM040,2024-06-18,Jaipur,Market,Tuesday,6,0,0,Holi,26.09,394,3834.0,1510596.0,215801.74,2500000,1205205.74,0,0,1661116.64
138,ATM016,2024-11-12,Jaipur,Railway Station,Tuesday,11,0,0,None,24.93,332,5282.0,2266312.88,332510.27,3000000,1066197.39,0,0,2344752.07
139,ATM011,2024-07-23,Bengaluru,Bus Stand,Tuesday,7,0,0,None,16.41,203,4540.0,921620.0,104309.98,1000000,182689.98,0,1,1012851.48
140,ATM034,2024-05-07,Hyderabad,Mall,Tuesday,5,0,0,None,35.6,256,5705.0,1460480.0,76094.36,2500000,1115614.36,0,0,1288289.04
141,ATM015,2025-04-06,Kolkata,Market,Sunday,4,1,0,None,26.2,338,3431.0,1159678.0,101964.59,1000000,0.0,1,1,1228930.48
142,ATM002,2024-11-22,Mumbai,College,Friday,11,0,0,None,36.37,115,1813.0,244297.73,37735.26,1500000,1293437.53,0,0,272537.18
143,ATM031,2025-04-04,Delhi,Mall,Friday,4,0,0,None,15.51,291,2724.0,792684.0,89034.77,3000000,2296350.77,0,0,820206.01
144,ATM008,2024-10-22,Chennai,Bus Stand,Tuesday,10,0,0,None,18.29,141,4939.0,877280.24,108275.32,1000000,230995.08,0,1,779726.91
145,ATM032,2025-09-03,Delhi,Railway Station,Wednesday,9,0,0,None,34.4,258,1512.0,390096.0,47678.09,1500000,1157582.09,0,0,409496.37
146,ATM012,2025-11-11,Mumbai,College,Tuesday,11,0,0,None,16.83,214,5957.0,1563962.88,278775.95,3000000,1714813.07,0,0,1340499.18
147,ATM031,2024-02-14,Pune,College,Wednesday,2,0,0,None,21.85,84,,371700.0,55114.93,2000000,1683414.93,0,0,347314.28
148,ATM007,2025-08-18,Kolkata,Hospital,Monday,8,0,0,None,16.2,219,4273.0,935787.0,142264.26,1500000,706477.26,0,0,1067390.73
149,ATM030,2025-12-13,Jaipur,Hospital,Saturday,12,1,0,None,36.91,161,5249.0,937411.55,56468.41,1500000,619056.86,0,0,1174416.16
150,ATM021,2024-11-13,Pune,Business Area,Wednesday,11,0,0,None,21.84,319,3843.0,1457913.88,214497.38,2000000,756583.5,0,0,1378641.0
151,ATM024,2025-03-23,Pune,Business Area,Sunday,3,1,0,None,39.16,302,5564.0,1680328.0,224845.15,2000000,544517.15,0,0,2129629.82
152,ATM034,2024-09-30,Mumbai,Residential,Monday,9,0,0,None,17.13,234,2978.0,696852.0,77922.8,2000000,1381070.8,0,0,617347.65
153,ATM021,2025-11-07,Hyderabad,Bus Stand,Friday,11,0,0,Dussehra,27.04,280,5136.0,1708276.17,62101.43,2000000,353825.26,0,1,2147189.82
154,ATM028,2024-10-08,Delhi,Mall,Tuesday,10,0,0,None,33.12,279,5703.0,2068914.06,272913.75,1000000,0.0,1,1,1861966.41
155,ATM039,2025-11-25,Jaipur,Market,Tuesday,11,0,0,None,18.41,289,4500.0,1548294.21,266956.99,1000000,0.0,1,1,1643952.77
156,ATM029,2025-01-14,Kolkata,Business Area,Tuesday,1,0,0,None,35.6,293,5837.0,1710241.0,145443.16,2000000,435202.16,0,1,1842521.74
157,ATM016,2024-04-26,Delhi,Hospital,Friday,4,0,0,Christmas,28.47,320,2464.0,788480.0,54615.25,2000000,1266135.25,0,0,1020109.89
158,ATM014,2025-09-18,Hyderabad,Business Area,Thursday,9,0,0,None,20.4,273,2106.0,574938.0,56232.62,2500000,1981294.62,0,0,689374.72
159,ATM021,2025-11-14,Kolkata,Mall,Friday,11,0,0,None,29.85,242,2790.0,862847.82,145906.42,1500000,783058.6,0,0,973114.37
160,ATM033,2024-08-17,Mumbai,Railway Station,Saturday,8,1,0,None,36.39,342,1715.0,586530.0,49347.4,3000000,2462817.4,0,0,620225.22
161,ATM036,2024-05-12,Mumbai,Mall,Sunday,5,1,0,None,23.35,365,4854.0,1771710.0,271959.1,1000000,0.0,1,1,1710361.93
162,ATM021,2025-10-19,Mumbai,Business Area,Sunday,10,1,0,None,27.58,334,6016.0,2531669.92,145050.69,1500000,0.0,1,1,2738076.24
163,ATM004,2024-05-07,Bengaluru,Bus Stand,Tuesday,5,0,1,None,19.45,220,4334.0,953480.0,164115.33,3000000,2210635.33,0,0,1242204.19
164,ATM006,2024-09-13,Chennai,Bus Stand,Friday,9,0,0,None,18.38,157,5870.0,921590.0,40563.1,1500000,618973.1,0,0,974243.16
165,ATM038,2024-06-06,Bengaluru,College,Thursday,6,0,0,None,37.75,224,1837.0,411488.0,63280.86,1000000,651792.86,0,0,361462.58
166,ATM037,2024-09-28,Chennai,Residential,Saturday,9,1,0,None,31.69,138,5969.0,823722.0,60503.0,2000000,1236781.0,0,0,906549.83
167,ATM026,2024-10-31,Jaipur,Mall,Thursday,10,0,0,None,33.59,226,4904.0,1353308.77,82015.18,3000000,1728706.41,0,0,1218362.29
168,ATM021,2024-12-19,Pune,Hospital,Thursday,12,0,0,None,35.54,211,6101.0,1450215.04,96092.23,1000000,0.0,1,1,1368444.79
169,ATM016,2024-05-24,Mumbai,Market,Friday,5,0,0,None,22.84,338,4925.0,1664650.0,111931.97,1500000,0.0,1,1,1888907.06
170,ATM037,2024-11-16,Chennai,Hospital,Saturday,11,1,0,None,28.45,260,5585.0,1916436.44,200469.87,1000000,0.0,1,1,2444027.56
171,ATM033,2025-04-13,Chennai,Railway Station,Sunday,4,1,0,None,30.75,186,5554.0,1033044.0,123580.8,2500000,1590536.8,0,0,1059916.46
172,ATM001,2024-04-20,Pune,Hospital,Saturday,4,1,0,None,38.83,241,4803.0,1157523.0,98262.83,2500000,1440739.83,0,0,1084989.84
173,ATM036,2024-07-18,Kolkata,Bus Stand,Thursday,7,0,0,None,16.99,209,5189.0,1084501.0,156884.58,2000000,1072383.58,0,0,1235093.68
174,ATM040,2025-11-27,Mumbai,Hospital,Thursday,11,0,0,None,41.33,180,4557.0,1065291.6,86142.46,2000000,1020850.86,0,0,1186988.18
175,ATM013,2025-09-08,Pune,Market,Monday,9,0,0,None,16.22,256,4228.0,1082368.0,162999.08,3000000,2080631.08,0,0,1093133.23
176,ATM039,2025-06-11,Bengaluru,College,Wednesday,6,0,0,Diwali,40.15,251,4719.0,1184469.0,211537.11,2000000,1027068.11,0,0,1478464.02
